Topic,Document Length
-1,326.9784049604447
0,437.4779756326148
1,340.0013440860215
2,321.64529914529913
3,294.31595576619276
4,319.46992481203006
5,331.5894495412844
6,341.1048780487805
7,373.53712871287127
8,354.22562674094706
9,318.8645833333333
10,301.3736263736264
11,254.46360153256705
12,265.20704845814976
13,341.6448598130841
14,234.86458333333334
15,326.3279569892473
16,376.52252252252254
17,272.1296296296296
18,285.31775700934577
19,310.9514563106796
20,435.1287128712871
21,356.12
22,314.9583333333333
23,329.34736842105264
24,300.51063829787233
25,292.95652173913044
26,426.3369565217391
27,340.35869565217394
28,353.46153846153845
29,355.3222222222222
30,390.2247191011236
31,268.63953488372096
32,334.75324675324674
33,257.80281690140845
34,348.2028985507246
35,349.52941176470586
36,280.6470588235294
37,262.28125
38,390.77777777777777
39,367.3709677419355
40,407.6666666666667
41,356.82456140350877
42,313.1607142857143
43,587.1132075471698
44,262.9183673469388
45,404.9795918367347
46,299.9166666666667
47,296.625
48,281.1875
49,364.97872340425533
50,259.10869565217394
51,266.06666666666666
52,260.1333333333333
53,383.95454545454544
54,300.2564102564103
55,189.5
56,280.44444444444446
57,463.4117647058824
58,433.54545454545456
59,302.90625
60,122.75
